City Id,City Name,Temprature,Cloudiness,Wind,Latitude,Longitude,Humidity
5374920,Morro Bay,77.92,1,8.05,35.37,-120.85,39
553766,Kamenka,49.48,1,1.01,51.32,42.77,84
2122389,Ossora,54.59,100,11.23,59.24,163.07,82
2136697,Lakatoro,78.8,75,6.93,-16.1,167.42,88
639734,Rauma,60.22,94,3.36,61.13,21.51,100
2206854,Gisborne,53.01,100,5.99,-38.65,178.0,56
5888001,Atikokan,56.23,49,4.59,48.76,-91.62,93
2450173,Taoudenni,101.75,0,9.44,22.68,-3.98,9
2033135,Zhengjiatun,84.33,0,2.28,43.51,123.51,52
2393693,Kandi,70.88,42,2.59,11.13,2.94,95
2173911,Broken Hill,53.6,75,11.41,-31.95,141.43,76
1625084,Cicalengka,84.06,0,3.36,-6.31,106.62,70
2018735,Nyurba,53.69,45,7.2,63.28,118.33,50
3899695,Ancud,41.18,90,6.93,-41.87,-73.82,93
2527087,Tiznit Province,71.28,0,1.39,29.58,-9.5,24
2019488,Namtsy,55.4,40,6.71,62.72,129.67,50
2019935,Mnogovershinnyy,51.28,100,7.11,53.94,139.92,95
3892454,Diego de Almagro,42.39,0,1.16,-26.37,-70.05,70
3901501,Villazón,37.11,0,8.16,-22.09,-65.59,45
1624041,Ternate,83.32,50,5.99,0.8,127.4,70
2171099,Codrington,57.18,0,11.3,-38.27,141.97,75
3461408,Ilhéus,70.72,2,1.39,-14.79,-39.05,92
3465303,Costa Rica,65.84,56,2.1,-23.42,-54.65,98
3533462,Acapulco de Juárez,84.2,20,0.58,16.86,-99.89,74
3421982,Maniitsoq,46.13,0,10.69,65.42,-52.9,64
2159220,Mackay,74.71,0,14.99,-21.15,149.2,23
3441890,Departamento de Maldonado,51.91,0,23.04,-34.67,-54.92,59
1517323,Zhanakorgan,81.91,100,7.11,43.91,67.25,18
371745,Kutum,74.19,98,9.62,14.2,24.67,67
1801722,Lüshunkou,75.2,90,2.24,38.8,121.27,100
2139521,Noumea,77.61,60,9.17,-22.28,166.46,61
5972291,Havre-St-Pierre,53.6,1,2.24,50.23,-63.6,87
4696788,Hays,90.91,25,8.7,30.05,-98.03,53
1498511,Mokrousovo,57.02,99,9.46,55.81,66.77,81
6160362,Swan River,61.75,37,9.1,52.11,-101.27,71
2618795,Klaksvík,53.6,99,1.12,62.23,-6.59,100
